name,price,adress,description,aboutHouse
"1-ком. квартира, 40 м², ",20000,"Томск, Советский р-н, м-н Степановка, переулок Богдана Хмельницкого, 5/1","
                 ",
"1-ком. квартира, 24 м², ",14500,"Томск, Октябрьский р-н, жк Солнечная долина, Юрия Ковалева 40","
                Сдам в аренду 1 комнатную малогабаритную квартиру-студию в кирпичном доме.Рядом вся инфраструктура: магазины, аптеки, Метро, бассейн Звездный. В квартире есть всё необходимое: диван, шкаф кухонный гарнитур, холодильник, стиральная машинка, плитка настольная. Квартира сдаётся только на длительный срок жильцам без животных.СОБСТВЕННИК. Галина.            ","2015,индивидуальный,15,4,Центральное"
"1-ком. квартира, 33 м², ",20000,"Томск, Октябрьский р-н, Пушкина 27д","
                Собственник.  сдается полноценная 1 -комнатная квартира. Квартира полностью укомплектована необходимым для комфортного проживания. Вся мебель и техника в отличном состоянии. В микрорайоне развитая инфраструктура: в шаговой доступности остановки общественного транспорта, магазины, гипермаркеты, Изумрудный город, аптеки, рынки, Белое Озеро, Михайловская роща. Удобная транспортная развязка, можно быстро добраться в любую часть города. Квартира сдается на длительный срок людям БЕЗ ВРЕДНЫХ ПРИВЫЧЕК, ДЕТЕЙ, ДОМАШНИХ ЖИВОТНЫХ(какими бы воспитанными и умными они не были, если они у вас есть, не тратьте наше и ваше время на звонки.)","1961,5,4,Есть,Центральное"
"2-ком. квартира, 46.2 м², ",20000,"Томск, Октябрьский р-н, 3 микрорайон, Иркутский тракт, 122","
                Сдам квартиру на длительный срок в Октябрьском районе, (Иркутский тракт 122) ответственным, аккуратным, адекватным людям!!! Для проживания есть все! Окна пластик, балкон пластик. (свет и вода по счетчика, оплачивает арендатор)","1972,1-464, панельный,5,3,Есть,Центральное"
"2-ком. квартира, 29 м², ",13000,"Томск, Октябрьский р-н, Кедровый переулок 11","
                Собственник. Курение в квартире не допустимо. На длительный срок.","2012,виброблок,3,2,Центральное"
"2-ком. квартира, 35 м², ",20000,"Томск, Октябрьский р-н, улица Ивановского, 30","
                О квартире","2011,75 серия,10,2,Центральное"
"3-ком. квартира, 85.6 м², ",75000,"Томск, Октябрьский р-н, ул. Яковлева, 15","
                СОБСТВЕННИК!","2014,17,1,Центральное"
"1-ком. квартира, 25 м², ",12000,"Томск, Октябрьский р-н, улица 79-й Гвардейской Дивизии, 1","
                Собственник! ","1979,9,1,Центральное"
"1-ком. квартира, 26 м², ",10000,"Томск, Октябрьский р-н, Говорова 10/2 16","
                Сдам в аренду 1-комнатную гостинку",
"1-ком. квартира, 34.3 м², ",20000,"Томск, Советский р-н, Кулагина 11/1","
                Собственник. Сдам квартиру, без животных. Квартира чистая , ухоженная.Диван и два кресла раздвижные. Свет и вода по счётчикам. Квартира сдаётся с 25 июня. Залог 15 тыс.","1987,П-121-75,9,2,Центральное"
"1-ком. квартира, 32 м², ",15000,"Томск, Октябрьский р-н, посёлок Новый, ул. Мечникова, 1","
                Сдам на долгий срок однокомнатную квартиру в микрорайоне Зелёные горки. Недалеко от квартиры находится бассейн звездный, НПО Вирион, центр семейного отдыха Долина. ","2016,серия 75,10,3,Центральное"
"Студия, 33 м², ",16000,"Томск, Советский р-н, улица Степана Разина, 19","
                Собственник. Сдается студия с необычным интерьером и аскетичной кухней. Холодильник, стиральная машина, индукционная плитка, микроволновка. Дополнительно оплачиваются счетчики. ",10
"1-ком. квартира, 27.5 м², ",23000,"Томск, Советский р-н, Киевская 1","
                Собственник. Уютная чистая квартира в новом доме с хорошим ремонтом. Есть все необходимое для проживания (постельное белье, посуда). В квартире никто не проживал, вся техника и мебель новая. В шаговой доступности: различные торговые центры и магазины (""Изумрудный город"", ""Клевер"", ""Ярче"", ""Абрикос"", ""Мария-Ра"" и т.д.), Сбербанк, школа № 4 и № 40, детский сад № 1 и № 89, салоны красоты, клиника Сибирская, Гармония здоровья, Фитнес-клуб Super Gym, аптеки.  Располагается в нескольких минутах ходьбы от остановки общественного транспорта Сибирская, ТЦ Изумрудный город, удобная транспортная развязка. Квартира сдается только для проживания, запрещено курить в квартире и на балконе. Есть залог. Договор найма. Дополнительно оплачивается свет и вода по счетчикам. Агентства прошу не беспокоить",
"1-ком. квартира, 40 м², ",30000,"Томск, Кировский р-н, Киевская 147","
                Собственник. Новый дом , отличный ремонт.Район площади Транспортной, Кардооцентр и Дворец Спорта рядом.","2012,10,5,Центральное"
"1-ком. квартира, 50 м², ",23000,"Томск, Ленинский р-н, Розы Люксембург 101","
                Собственник. Сдаю уютную 1-комн.квартиру на длительный срок. В квартире есть все самое необходимое для проживания. Заходи и живи! Дом оснащен камерами видеонаблюдения. Во дворе детская площадка. В шаговой доступности магазины, Киномакс, спортивный комплекс Акватика, остановки общественного транспорта. Все подробности по телефону. Семей с маленькими детьми и животными, просьба не беспокоить.","2008,10,5"
"1-ком. квартира, 45 м², ",14000,"Северск, ул. Славского, 4","
                Сдам на длительный срок уютную квартиру.            ","2008,инд. проект,9,8,Есть,Центральное"
"1-ком. квартира, 34 м², ",16500,"Томск, Октябрьский р-н, м-н Высотный, Карский переулок 4","
                Собственник.","2008,17,2,Центральное"
"1-ком. квартира, 29 м², ",20000,"Томск, Советский р-н, Алтайская 24","
                Собственник.","2008,монолитный каркас,10,6,Центральное"
"2-ком. квартира, 49 м², ",40000,"Томск, Октябрьский р-н, ул. Пушкина, 22","
                Чистая, светлая, уютная квартира","1994,6,4,Центральное"
"1-ком. квартира, 14 м², ",10000,"Томск, Ленинский р-н, м-н Каштак-1, Мира проспект 13","
                Собственник. Сдам одному человеку предпочтительно мужчина , вдвоём не приходите не поместитесь , ВСЕ ВКЛЮЧЕНО! Читайте пожалуйста внимательно","1975,5,8,Центральное"
"1-ком. квартира, 34.7 м², ",19000,"Томск, пригород, м-н Южные ворота, пос. Зональная Станция, Королева 8","
                Сдам 1-комнатную квартиру в новом доме в новом районе Южные ворота. Собственник.","2016,16,4,Центральное"
"1-ком. квартира, 43 м², ",24000,"Томск, Кировский р-н, Московский тракт 89","
                Собственник. ",10
"1-ком. квартира, 17 м²",11000,"Томск, Октябрьский р-н, Карский переулок 23","
                ЗАЛОГ ПРИ ЗАСЕЛЕНИИ 5 000","1970,типовой, 11-29,5,4,Есть,Центральное"
"1-ком. квартира, 20 м², ",12000,"Томск, Октябрьский р-н, Кедровый пер., 11","
                Рядом остановки, магазины, удобный район            ","2012,виброблок,3,2,Центральное"
"1-ком. квартира, 43 м², ",15000,"Томск, Кировский р-н, м-н Степановка, Богдана Хмельницкого переулок 8","
                Собственник.Сдам отличную квартиру на длительный срок. Квартира просторная, уютная, светлая, солнечная; c положительной энергетикой. Не захламленная лишней мебелью. ","2010,12,2"
"1-ком. квартира, 35 м², ",30000,"Томск, Кировский р-н, м-н Нефтяной, улица Нефтяная, 5","
                Квартира отличном состоянии. Чистая, светлая, очень теплая, уютная. Для счастливой жизни. Большая гардеробная.Ванная выполнена в ярких цветах.Принимая ванну отдыхаешь,получаешь сеанс цветотерапии и заряд бодрости и хорошего настроения.В комнате широкая кровать с ортопедическим матрасом фирмы Орматек, хороший отдых гарантирован. Гладильная доска.Очень хороший стол с полками для книг. Для студентов просто шик.В шаговой доступности магазины(Абрикос,Лента),аптека, школа, прекрасная детская площадка, каток, спортивная площадка, площадь Южная,корпус Тусура. Остановки автобусов и трамвая тоже близко.Замечательные соседи. Хотелось бы сдать квартиру аккуратным , чистоплотным людям.","2015,75 серия,17,3,Центральное"
"1-ком. квартира, 30 м², ",16000,"Томск, Октябрьский р-н, Чулымская ул., 45","
                Сдам квартиру на долгий срок хорошим людям, без вредных привычек!","2012,4,4,Центральное"
"1-ком. квартира, 33 м², ",15000,"Томск, Советский р-н, м-н Академгородок, Академгородок, Королева 4","
                Сдам в аренду квартиру в Академгородке на длительный срок 1ком. квартиру 33кв.м  по адресу Королева 4, второй этаж, есть всё необходимое для жизни. Во дворе детская площадка, в шаговой доступности супермаркеты, школа, сад, остановка общ. транспорта, условия для занятием летним и зимним спортом, горнолыжный склон. Оплата за свет и воду по счётчикам. Залог в размере месячной оплаты. Будем Вам рады!","1987,5,14,Центральное"
"1-ком. квартира, 47 м², ",17000,"Томск, Октябрьский р-н, Больничная 2/1","
                Сдается уютная квартира в центре города. Хороший ремонт. Есть вся необходимая мебель и техника. Тихий двор, большая парковка. Рядом вся необходимая инфраструктура: магазины, аптеки. Отличная транспортная развязка во все стороны города. Залог 7000 руб. Предпочтение девушкам и семьям без детей. Без животных.","1994,6,2,Центральное"
"Комната, 19 м², ",8500,"Томск, Октябрьский р-н, ж-м Зелёный, Иркутский тракт 160","
                Собственник. ","1963,Кирпичный,5,3,Есть,Центральное"
"1-ком. квартира, 42.9 м², ",8500,"Северск, ул. Калинина, 82","
                Сдам просторную квартиру на длительный срок ответственным и чистоплотным арендаторам!","2011,Кирпичный,10,1,Есть,Центральное"
"Студия, 16 м², ",9000,"Томск, Кировский р-н, ул. Усова, 11А","
                Собственник: ","1952,Кирпичный,4,2,Центральное"
"Студия, 18 м², ",12000,"Томск, Советский р-н, Алтайская ул., 159","
                Сдам студию в доме по адресу ул- алтайская, дом 159 Квартира находится на 3 этаже из 5.","1968,К-447,5,1,Центральное"
"Комната, 25 м², ",1000,"Томск, Октябрьский р-н, Пролетарский пер., 7В","
                Сдам комнату БЕСПЛАТНО приезжиму с другого города, деревни. Мужчине, парню. Женщине девушке. без жилья. У кого проблемы с жильём . Условия работать у меня . (грузчик, Разнорабочий. Администратор сауны) За мой счёт + питание. +деньги на дорогу . +получать з/п. Всё зависит от вашего желания поработать и заработать.            ",
"1-ком. квартира, 40 м², ",30000,"Томск, Кировский р-н, Киевская ул., 147","
                Новый дом в отличном месте ,район площади Транспортной .рядом Дворец Спорта,Кардиоцентр , Много магазинов .Отличная транспортная доступность.","2012,10,5,Центральное"
"1-ком. квартира, 33 м², ",18000,"Томск, Октябрьский р-н, Транспортная 7","
                Собственник. Квартира сдаётся на длительный срок для арендаторов без животных. Укомплектована необходимой мебелью и бытовой техникой. На площадке общая железная дверь на две квартиры. Придомовая  территория огорожена забором, по периметру дома видеокамеры. Есть детская площадка. Дом расположен в районе с развитой инфраструктурой, рядом ж/д вокзал Томск -2, техникум ж/д транспорта. В шаговой доступности  продуктовые и хозяйственные магазины, детский сад, школа, развлекательный комплекс ""Шарики"".","2005,10,5,Центральное"
"1-ком. квартира, 18 м², ",13000,"Томск, Советский р-н, Тверская улица, 51/1","
                Сдам свою квартиру на длительный срок ответственным людям! Светлая гостинка в самом центре города. ","1975,К-29.77КБ,5,3,Центральное"
"Студия, 17 м², ",15000,"Томск, Октябрьский р-н, Железнодорожная 5","
                Собственник. Сдам на длительный срок благоустроенную комнату в общежитие  в хорошем состоянии после ремонта.Пластиковое окно, входная дверь железная надежная, душевая кабина, унитаз, плита, холодильник, микроволновка, стиральная машина, телевизор, чайник.","1996 / 1966,кирпичное,5,1,Центральное"
"Студия, 41 м², ",20000,"Томск, Октябрьский р-н, Старо-Деповская ул., 1","
                ? COБCТBEHHИК",
"1-ком. квартира, 45 м², ",18000,"Томск, Советский р-н, Сибирская 91","
                Собственник. большая уютная квартира на длительный срок, квартира не курящая , без животных. оплата помесячно путем предоплаты , коммуналка по факту в конце месяца, при заезде оплачивается депозит в размере месячной оплаты( не возвратный ) при соблюдении всех условий договора депозит покрывает оплату последнего месяца проживания. Адекватные студенты приветствуются.","2006,10,3,Центральное"
"3-ком. квартира, 90 м², ",27000,"Томск, Советский р-н, Овражный пер., 2","
                Сдам в аренду квартиру без мебели на длительный срок.",
"Студия, 49 м², ",19000,"Томск, Октябрьский р-н, ул. Яковлева, 35","
                Помимо арендной платы оплачивается дополнительно свет и вода по счетчикам. Залог 7000.","2007,10,4,Центральное"
"1-ком. квартира, 40 м², ",32000,"Томск, Советский р-н, Гоголя 15","
                Сдам в долгосрочную аренду однокомнатную квартиру в центре Томска в новом доме.","2010,Индивидуальный проект,10,3,Центральное"
"1-ком. квартира, 40 м², ",32000,"Томск, Советский р-н, улица Гоголя, 15","
                Сдам в долгосрочную аренду однокомнатную квартиру в центре Томска в новом доме.","2010,Индивидуальный проект,10,3,Центральное"
"2-ком. квартира, 58 м², ",42000,"Томск, Советский р-н, Тверская 14","
                Собственник. Сдам на длительный срок 2-к квартиру в прекрасном живописном районе в самом сердце города. ","2007,11,3,Центральное"
"1-ком. квартира, 36 м², ",20000,"Томск, Кировский р-н, Федора Лыткина 20","
                Собственник.","1981,9,Есть"
"2-ком. квартира, 64.2 м², ",34000,"Томск, Ленинский р-н, Дальне-Ключевская 16а","
                Собственник. Отличная квартира, тёплое, уютная.","2013,серия 75,14,7,Центральное"
"1-ком. квартира, 19 м², ",12000,"Томск, Советский р-н, Алтайская 76/1","
                Собственник. Сдается одна комнатная квартира на длительный срок. Рядом с домом имеются автостоянка, трамвайные и автобусные остановки, маршруты транспорта во все концы города. В шаговой доступности ""Изумрудный город"" и ""Михайловская роща"" а так же школы, садики и магазины разной торговой направленности. Удобно для студентов и молодоженам. В квартире имеется бытовая техника: стиральная машина, бойлер, телевизор, электрическая печь с функцией духовки, электрический чайник, электро вытяжка. Подведен интернет. Приоритет студентам девушкам и молодым семьям.","1973,Жилой многоквартирный дом,5,3,Центральное"
"1-ком. квартира, 40 м², ",16000,"Томск, Октябрьский р-н, жк Солнечная долина, Энтузиастов 43","
                Собственник.  Квартира на 3 этаже. Спокойные соседи. Мебель, техника есть. Нет шкафа- но купим при необходимости. Задаток 5000.","2012,75 серия,17,1,Центральное"
"1-ком. квартира, 32 м², ",17000,"Томск, Кировский р-н, Тверская 103","
                Собственник.","1973,не типовая,5,5,Центральное"
"1-ком. квартира, 38 м², ",15000,"Томск, Советский р-н, м-н Академгородок, ул. Королёва, 4","
                1 комнатная в томске в академгородке, требует косметического ремонта. Стоимость ремонта будет включена в стоимость аренды. На очень длительный срок.  Ближайшие 3-5 лет.            ","1987,5,14,Центральное"
"1-ком. квартира, 28 м², ",15000,"Томск, Октябрьский р-н, ул. Беринга, 18/2","
                Сдаётся однокомнатная квартира в спальном районе. Всё необходимое есть. Рядом остановка и магазины. Коммунальные платежи по счётчикам. Квартира тёплая и уютная.",
"2-ком. квартира, 54 м², ",22000,"Томск, Советский р-н, Овражный переулок 19","
                Собственник. Сдам на длительный срок семейным, порядочным людям (не студентам), желательно без дом. питомцев (если питомцы будут ремонт обоев с ВАС). Хорошая металлическая дверь. Состояние квартиры очень хорошее. Есть кухня, печь, холодильник, стол кухонный, комод, шкаф.Остальная мебель по договоренности за день.","2010,75 серия, тип технический,14,3,Центральное"
